,comment
188,最近こじけんにかなり寄ってきた斗亜くん、「なにが生まれるん？」「どの層にウケて...」って心配してるけど、大丈夫よ、20代女性的には神回でした。
189,"肌荒れすらも尊い5人。
愛してる。"
190,「関ジュは家族」って仲がいいっていう例えじゃなくて、1人ずつ部屋あっても一緒に寝ちゃうんだからもうほんとに家族なんだなって改めて実感した
191,「君は僕だけのお姫様」じゃなくて「僕は君だけの王子様」なのが天才なのよ😭😭
192,全員同じ学校通っててアイドルしてるってどんな漫画ですか🥺
193,Lilかんさいは、結成前平野紫耀くん主演の映画『ういらぶ』を見に行くためのグループメールを作ってたグループなんです🥺カワイイ…🤦‍♀️
194,"男子です。
王子様って歌詞があるからお姫様に対しての曲みたいな感じだけど直接的にお姫様って言うと女性ファンだけに対してで、男性ファンをのけものにしてるみたいな感じになるから
君は僕だけのお姫様じゃなくて
僕は君だけの王子様で、君ってすることで女性じゃなく男性でも別にいいよねみたいな歌詞で男ファンとしては好き。"
195,岡﨑くんは王子様っていうより貴公子って感じだね。イケメンすぎ...
196,SixTONES担の方や嵐担の方、TravisJapan担の皆さんがLilかんさいのことをすごく褒めてくださるのが嬉しすぎて🤧🤧
197,なにわさんAぇ!さん東ジュさんに勝ちたい、人気になりたいじゃなくて「自分達にしか出せない色を出したい」って言えるところとか、本当に高校生なのか疑うほどしっかりしてる
198,ティアラだけどこの曲好きすぎてまじ毎日聞いてる
199,"事務所様
Lil かんさいにチャンスをください。
彼らの努力認めてあげてください。
キラキラフレッシュのまま世に送り出してあげたい
輝けるステージがあれば彼らはどんどん成長します伸び代たっぷり高校生ですよ！！！！♡"
200,最近海外進出目指してる若手グループ多いけど、リトかんは日本でキラキラ輝いていて欲しい。というかこの子たちは日本のファン幸せにしてくれそう
201,まじでこの時からメンバー1人もかけてないのすごいと思う
202,当時中学生だった私がドはまりしてた曲…気づいたらもう大学生。ひええええ。
203,たまに無性に聴きたくなるこの曲
204,ずっと応援してるよ。また5人で戻ってきてね‼
205,"さきてぃ可愛い♡
どのグループも黄色って可愛いの！？"
206,いやほんとみんな唇の色無いのにこんなに可愛いのは意味わからない
207,さきてぃの可愛さは異常
208,"さきてぃー顔だけでなく、表情、声全てが癒し
推したくなる
たこ虹売れてくれ〜"
209,"Zepp Hanedaのラストライブ、アンコールでこの曲を歌った時、明るい曲なのに涙腺が崩壊してしまった。
一回り大きくなって帰ってくることを願って待ってます。"
210,avexになってからこういう関西を押し出した歌がないからもっと増えて欲しい
211,"本当にこの曲に救われました。
いつか、生で聴いてみたいです！"
212,泣きました。自分は同性が好きでそんな自分を周りに隠して生きています。自分自身も自分のことを認められてなくて悩んでた所にこの曲を聞いて、自分自身を少しですが認められた気がします。
213,"卒業（泣）
めっちゃ良いグループだった。
お世話になりました。
あとちょっとあるけど。
やっぱこの曲いいなぁ（泣）"
214,3:23のスタンばってるさきてぃ可愛い笑
215,"やっぱスタダは目のつけどころがすごい‥
しゃちもたこ虹もどんどん美人になってきてる‥"
216,"まいさく→同性愛
さきてぃ→アニオタへの偏見(？)とその人間関係
くーちゃん→本当の夢、やりたいこと
れんれん→1人ひとりの個性

を表してるのかな？すごいメッセージ性がある曲。"
217,久しぶりに見たら青の子がいい意味であか抜けた感じに可愛く成長してて驚いた
218,"今すごく友人関係のことで悩んでてこの歌を聴いてすごく元気をもらえました(；＿；)

たこ虹さん随分みてないうちにみんな可愛い女の子から垢抜けた美人さんになっててびっくりです！！久しぶりに音楽をきいてこんな衝撃をうけました……😭😭😭💗💗"
219,くーちゃんどんどん可愛くなってるよね！？
220,"この子達だから歌える歌やと思う。
とりあえずみんな可愛すぎ"
